 ,Label,Area,Mean,StdDev,Min,Max,Major,Minor,Angle,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret
1,C19M10_D_calibrated.png:edge3rd,80146,88.13,43.96,16,235,401.32,254.27,106.91,448.83,7063622.00,7063622.00,688.35,366.93,120.39,274.00
2,C19M10_D_calibrated.png:mid3rd,114287,109.35,47.40,36,247,480.29,302.97,87.51,479.32,12497615.00,12497615.00,415.74,757.88,57.99,274.00
3,C19M10_D_calibrated.png:bot3rd,53497,102.05,29.92,35,246,286.27,237.94,47.10,357.11,5459478.00,5459478.00,143.82,662.77,40.59,273.12
4,C19M10_D_calibrated.png:whole_wing,247500,100.91,44.01,16,247,743.92,423.60,178.20,820.15,24975264.00,24975264.00,141.88,657.75,0.22,462.59
5,C19M11_D_calibrated.png:edge3rd,80128,92.96,34.84,24,221,410.30,248.65,106.47,457.45,7448840.00,7448840.00,722.06,310.70,118.60,265.07
6,C19M11_D_calibrated.png:mid3rd,113029,103.90,42.37,37,231,487.52,295.19,88.24,481.35,11743566.00,11743566.00,455.00,709.94,58.04,266.00
7,C19M11_D_calibrated.png:bot3rd,55830,95.38,29.42,27,246,297.65,238.82,56.78,369.68,5325033.00,5325033.00,196.92,630.13,45.72,265.97
8,C19M11_D_calibrated.png:whole_wing,248987,98.47,37.75,24,246,734.69,431.50,177.57,797.05,24517439.00,24517439.00,189.03,618.39,179.64,465.08
9,C19M12_D_calibrated.png:edge3rd,90927,97.25,39.54,22,222,430.74,268.77,102.35,468.71,8842976.00,8842976.00,723.00,304.27,123.16,287.38
10,C19M12_D_calibrated.png:mid3rd,126228,109.29,51.86,33,227,507.70,316.56,85.84,507.81,13794974.00,13794974.00,436.00,720.32,56.48,288.00
11,C19M12_D_calibrated.png:bot3rd,58121,98.21,29.60,35,246,302.01,245.03,42.86,373.97,5707945.00,5707945.00,167.26,642.03,43.84,286.23
12,C19M12_D_calibrated.png:whole_wing,274493,102.92,44.33,22,246,779.34,448.45,2.17,860.89,28250837.00,28250837.00,149.49,616.32,179.82,491.24
13,C19M13_D_calibrated.png:edge3rd,79278,77.75,41.43,15,240,406.08,248.57,104.83,453.07,6163586.00,6163586.00,693.21,362.80,115.73,268.01
14,C19M13_D_calibrated.png:mid3rd,118064,100.92,49.96,30,248,504.12,298.19,89.46,497.58,11915307.00,11915307.00,582.17,322.30,102.73,269.00
15,C19M13_D_calibrated.png:bot3rd,56708,85.89,24.42,28,242,312.36,231.15,62.78,383.23,4870505.00,4870505.00,162.13,689.61,46.90,268.44
16,C19M13_D_calibrated.png:whole_wing,253254,90.33,43.98,15,248,726.13,444.07,176.84,803.45,22877244.00,22877244.00,155.56,677.70,179.79,476.68
17,C19M14_D_calibrated.png:edge3rd,70158,83.49,43.51,19,222,373.86,238.94,106.39,420.92,5857210.00,5857210.00,706.00,321.73,119.99,248.85
18,C19M14_D_calibrated.png:mid3rd,96260,94.24,48.60,28,223,444.81,275.54,86.61,454.53,9071161.00,9071161.00,458.02,695.86,58.09,249.00
19,C19M14_D_calibrated.png:bot3rd,44960,97.46,34.59,29,233,276.15,207.29,56.30,339.58,4381658.00,4381658.00,215.77,620.52,44.25,248.17
20,C19M14_D_calibrated.png:whole_wing,210662,91.33,44.61,19,233,677.79,395.73,179.26,744.02,19239793.00,19239793.00,210.83,604.62,179.87,427.36
21,C19M15_D_calibrated.png:edge3rd,69366,106.08,39.54,22,243,361.41,244.37,105.29,406.35,7358621.00,7358621.00,678.00,378.33,119.04,253.56
22,C19M15_D_calibrated.png:mid3rd,98407,119.26,39.20,42,245,446.02,280.92,87.28,448.45,11736294.00,11736294.00,424.98,747.97,56.08,254.00
23,C19M15_D_calibrated.png:bot3rd,44860,101.89,27.58,32,211,268.06,213.08,43.90,330.53,4570846.00,4570846.00,189.08,678.19,44.70,246.72
24,C19M15_D_calibrated.png:whole_wing,212633,111.30,37.93,22,245,691.75,391.37,0.43,760.99,23665761.00,23665761.00,170.57,649.43,0.28,422.40
25,C19M16_D_calibrated.png:edge3rd,68143,62.48,31.36,16,218,371.39,233.62,105.84,413.25,4257461.00,4257461.00,681.05,381.51,118.16,251.00
26,C19M16_D_calibrated.png:mid3rd,98964,86.80,39.93,32,231,453.52,277.84,87.88,449.72,8589915.00,8589915.00,431.34,749.86,63.93,251.00
27,C19M16_D_calibrated.png:bot3rd,47107,83.48,18.84,30,198,277.13,216.42,60.37,343.01,3932523.00,3932523.00,191.88,679.52,45.80,250.92
28,C19M16_D_calibrated.png:whole_wing,213899,78.33,35.32,16,231,680.14,400.43,177.89,752.17,16754140.00,16754140.00,180.08,658.89,0.09,437.83
29,C19M17_D_calibrated.png:edge3rd,92906,55.39,36.56,14,222,446.18,265.12,104.10,493.63,5146122.00,5146122.00,689.99,324.90,115.45,282.00
30,C19M17_D_calibrated.png:mid3rd,125800,79.39,47.59,26,220,515.13,310.94,85.35,530.31,9987093.00,9987093.00,407.72,775.42,57.97,282.00
31,C19M17_D_calibrated.png:bot3rd,60505,80.01,18.56,30,238,305.92,251.82,49.83,382.79,4841027.00,4841027.00,130.57,689.96,43.55,281.90
32,C19M17_D_calibrated.png:whole_wing,278863,71.53,40.88,14,238,775.64,457.76,1.39,845.06,19947659.00,19947659.00,126.10,662.30,179.72,501.10
33,C19M18_D_calibrated.png:edge3rd,75699,53.69,32.42,15,202,392.51,245.56,106.73,442.57,4064089.00,4064089.00,691.00,367.71,116.86,265.09
34,C19M18_D_calibrated.png:mid3rd,112210,64.06,35.54,24,196,484.28,295.01,89.20,477.02,7188227.00,7188227.00,562.31,336.96,105.61,266.00
35,C19M18_D_calibrated.png:bot3rd,54736,68.89,15.64,29,180,296.51,235.04,59.95,368.83,3770745.00,3770745.00,162.33,676.74,44.37,265.15
36,C19M18_D_calibrated.png:whole_wing,242303,61.91,31.66,15,202,724.23,425.98,177.03,795.25,15000152.00,15000152.00,160.85,670.51,0.31,459.25
37,C19M19_D_calibrated.png:edge3rd,80544,58.49,31.71,15,206,395.37,259.38,106.88,441.08,4710771.00,4710771.00,682.40,363.45,121.54,274.86
38,C19M19_D_calibrated.png:mid3rd,112608,69.26,32.22,25,224,471.90,303.83,86.64,480.05,7799384.00,7799384.00,407.07,757.40,55.06,275.00
39,C19M19_D_calibrated.png:bot3rd,48870,82.15,22.81,32,244,282.94,219.92,49.40,354.70,4014837.00,4014837.00,136.83,667.48,40.39,256.29
40,C19M19_D_calibrated.png:whole_wing,241595,68.27,31.49,15,244,734.51,418.79,0.29,823.22,16494775.00,16494775.00,132.67,655.66,0.39,448.62
41,C19M20_D_calibrated.png:edge3rd,81154,62.75,38.12,12,228,415.83,248.48,105.86,459.64,5092798.00,5092798.00,695.00,359.54,115.83,271.67
42,C19M20_D_calibrated.png:mid3rd,119149,70.50,36.25,25,238,502.22,302.07,88.99,490.55,8400163.00,8400163.00,424.00,768.37,56.50,272.00
